"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"why" 0.137348124669836 0.168800691671127 0.165792720542875 0.0777560518221216 0.0849153878813611 0.156676580134911 0.121424482644972 0.0896207920237495 0.116417515544384
"much" 0.0669131889417151 0.086458890855943 0.0694016039481801 0.118921020433833 0.171043852732456 0.162305678822393 0.07458932505334 0.065348494183984 0.0899589892842969
"because" 0.109174150378588 0.0699905306929063 0.0925354719309068 0.0800429945227722 0.0824892339418936 0.0900655789997092 0.142240108241253 0.151235086540077 0.195793094324646
"put" 0.13382637788343 0.0823418008151838 0.10410240592227 0.134929619338387 0.141930005458846 0.0450327894998546 0.130097659976756 0.121361489198827 0.130969704987432
"made" 0.102130656805776 0.107044341059739 0.0809685379395435 0.108629778280905 0.0849153878813611 0.115396523093377 0.140505472774896 0.136298287869452 0.113771662918375
"before" 0.126782884310618 0.107044341059739 0.0848241826033313 0.130355733937086 0.145569236368048 0.074116466051844 0.0988742215823345 0.102690490860546 0.116417515544384
"never" 0.0986089100193696 0.119395611182017 0.0848241826033313 0.0651778669685431 0.0752107721234912 0.225163947499273 0.0832625023851238 0.0784181930207808 0.0912819155973012
"poirot" 0 1.00045287990448 1.29164096236891 0 0 0.000938183114580304 0 0 0
"knew" 0.0810001760873393 0.0823418008151838 0.0616903146206046 0.104055892879604 0.0824892339418936 0.121025621780859 0.0988742215823345 0.171773184712187 0.0886360629712925
"has" 0.105652403592182 0.2017374119972 0.181215299198026 0.0628909242678925 0.0788500030326924 0.0872510296559682 0.0711200541206266 0.143766687204765 0.13626141023945
"other" 0.112695897164994 0.0535221705298695 0.0963911165946946 0.0949081220770014 0.101898465457633 0.136974734728724 0.100608857048691 0.0560129950148434 0.11509458923138
"took" 0.109174150378588 0.131746881304294 0.0694016039481801 0.125781848535785 0.117668466064172 0.0412800570415334 0.133566930909469 0.164304785376874 0.0806985050932663
